Fault,Match_Type,Harmonic,Peak_Freq,Amplitude,Delta_amp
FTF,Near_Harmonic,33.0,32.25,0.10543524121908057,0.03548893738232484
Electrical,Exact_On_Harmonic,49.5,49.5,0.23633380832927067,0.11816690416463535
FTF,Near_Harmonic,99.0,98.5,0.04915100737761554,0.03371788899023536
Electrical,Exact_On_Harmonic,115.5,115.5,0.029186082369881582,0.01459304118494079
FTF,Exact_On_Harmonic,165.0,165.125,0.012592610769098619,0.0011296952001303186
