Fault,Match_Type,Harmonic,Peak_Freq,Amplitude,Delta_amp
FTF,Near_Harmonic,33.0,32.25,0.10174470245680091,0.006024484429432278
Electrical,Exact_On_Harmonic,49.5,49.5,0.06827510370889041,0.03413755185444521
FTF,Near_Harmonic,99.0,98.5,0.13933908668601513,0.1216905113288924
Electrical,Exact_On_Harmonic,115.5,115.5,0.023632060764766573,0.01181603038238329
FTF,Exact_On_Harmonic,165.0,165.125,0.015448817591368732,0.0002605456938793646
