Fault,Match_Type,Harmonic,Peak_Freq,Amplitude,Delta_amp
Electrical,Exact_On_Harmonic,49.5,49.5,0.10844890263689284,0.05422445131844643
FTF,Exact_On_Harmonic,82.5,82.625,0.0177395622743124,0.0011144109111590472
FTF,Near_Harmonic,99.0,98.5,0.20773081294174872,0.18099681738812723
FTF,Exact_On_Harmonic,115.5,115.625,0.015443040976363455,0.010917344953115674
FTF,Exact_On_Harmonic,132.0,132.125,0.010248941394708135,0.008542622470131763
FTF,Exact_On_Harmonic,148.5,148.625,0.00537264440224775,0.0003816203681893575
FTF,Exact_On_Harmonic,165.0,165.125,0.014863416165878635,0.009125327957691736
