Fault,Match_Type,Harmonic,Peak_Freq,Amplitude,Delta_amp
Electrical,Exact_On_Harmonic,49.5,49.5,0.2881614692916735,0.14408073464583676
FTF,Near_Harmonic,99.0,98.5,0.04757839276128924,0.03890331462595116
Electrical,Exact_On_Harmonic,115.5,115.625,0.02266565000204763,0.011071401344807566
Electrical,Exact_On_Harmonic,165.0,165.125,0.0067640795883465495,0.000488557795698721
