Fault,Match_Type,Harmonic,Peak_Freq,Amplitude,Delta_amp
FTF,Near_Harmonic,33.0,32.25,0.12719765300566346,0.06656113666690687
Electrical,Exact_On_Harmonic,49.5,49.5,0.17319288687172202,0.08659644343586098
FTF,Near_Harmonic,99.0,98.375,0.09511987471280263,0.054324711719847193
Electrical,Exact_On_Harmonic,115.5,115.5,0.02948297769686787,0.014741488848433938
Electrical,Exact_On_Harmonic,165.0,165.0,0.014376767272418841,0.00718838363620942
