Fault,Match_Type,Harmonic,Peak_Freq,Amplitude,Delta_amp
Electrical,Near_Harmonic,33.0,32.25,0.0665019765589532,0.014355854624372097
Electrical,Exact_On_Harmonic,49.5,49.5,0.09021841380186,0.045109206900929996
FTF,Near_Harmonic,99.0,98.5,0.11484365354758252,0.08431474742273055
Electrical,Exact_On_Harmonic,115.5,115.625,0.02381474579304229,0.009797871990589797
FTF,Near_Harmonic,148.5,148.125,0.006750755402231422,0.005275464487604176
FTF,Exact_On_Harmonic,165.0,165.125,0.03562638434783363,0.020653920507428803
